Time	Potential	EKG	Unnamed: 3
0.0	-0.194	-0.008943633424554348	
0.005	-0.243	-0.04172004104007928	
0.01	-0.205	-0.08964125232645855	
0.015	-0.170	-0.13449642497823944	
0.02	-0.214	-0.16864164843243523	
0.025	-0.210	-0.19009305387177003	
0.03	-0.174	-0.20229300779276504	
0.035	-0.184	-0.2063238150771887	
0.04	-0.216	-0.20549703452060297	
0.045	-0.208	-0.2033762108442349	
0.05	-0.207	-0.20489009747866788	
0.055	-0.232	-0.20769068012051808	
0.06	-0.207	-0.20968740505734224	
0.065	-0.207	-0.2115003496244548	
0.07	-0.280	-0.2166204766017925	
0.075	-0.323	-0.22813157012633534	
0.08	-0.281	-0.24631208954317263	
0.085	-0.272	-0.2652898803985071	
0.09	-0.266	-0.27549666046742893	
0.095	-0.248	-0.27738959447955414	
0.1	-0.281	-0.2758726212663593	
0.105	-0.287	-0.27569400309410785	
0.11	-0.268	-0.2747018915355196	
0.115	-0.262	-0.27448372413851696	
0.12	-0.278	-0.273617865652326	
0.125	-0.255	-0.272139386832311	
0.13	-0.145	-0.2632830978140631	
0.135	-0.118	-0.24227950241738924	
0.14	-0.107	-0.20952911413996947	
0.145	-0.159	-0.1763913848491256	
0.15	-0.341	-0.1638713719299369	
0.155	-0.503	-0.1897534384566805	
0.16	-0.547	-0.2537321015250054	
0.165	-0.523	-0.3364357525688652	
0.17	-0.494	-0.4126010533876764	
0.175	-0.379	-0.46015610015481084	
0.18	-0.216	-0.4652357895181979	
0.185	-0.130	-0.42723939908082387	
0.19	-0.071	-0.3545691279394919	
0.195	-0.025	-0.26538745689613236	
0.2	-0.003	-0.17980649661842782	
0.205	-0.014	-0.10675854338138838	
0.21	-0.005	-0.051757459092315834	
0.215	0.015	-0.015411146846330707	
0.22	-0.049	0.0023655109384505225	
0.225	-0.064	0.004770105335689109	
0.23	-0.005	-0.0022329004576151154	
0.235	0.003	-0.010239922713171035	
0.24	-0.014	-0.012617704460423224	
0.245	0.020	-0.01036858307391711	
0.25	0.020	-0.0067636242850067484	
0.255	0.001	-0.0007831489537921859	
0.26	0.036	0.005248298189886044	
0.265	0.065	0.014640693441794694	
0.27	0.000	0.02235330111082654	
0.275	-0.006	0.025745223501500283	
0.28	0.081	0.02680259810382673	
0.285	0.035	0.02976647797594748	
0.29	0.012	0.03334057044942903	
0.295	0.012	0.033633900032141784	
0.3	-0.048	0.026259796224764	
0.305	-0.133	0.006186640951312086	
0.31	-0.113	-0.022779010864162428	
0.315	-0.115	-0.05432344299450716	
0.32	-0.185	-0.0856307299831117	
0.325	-0.223	-0.11729413932856657	
0.33	-0.205	-0.14919200676465083	
0.335	-0.245	-0.17919397896295697	
0.34	-0.281	-0.20568355291335977	
0.345	-0.243	-0.22738408620037398	
0.35	-0.228	-0.24368307065320566	
0.355	-0.260	-0.2517964519832515	
0.36	-0.208	-0.2518187106810134	
0.365	-0.176	-0.24430311398608337	
0.37	-0.226	-0.23359965587110768	
0.375	-0.220	-0.2233330675830302	
0.38	-0.194	-0.2162034463780303	
0.385	-0.214	-0.21215658157648845	
0.39	-0.226	-0.20970322912932327	
0.395	-0.188	-0.20841666026779232	
0.4	-0.202	-0.20665239447364567	
0.405	-0.243	-0.2077964199196982	
0.41	-0.245	-0.21086855077775515	
0.415	-0.248	-0.21929040291752697	
0.42	-0.303	-0.2325706634859936	
0.425	-0.332	-0.24936927214891613	
0.43	-0.349	-0.27221052845411187	
0.435	-0.355	-0.29811890444690636	
0.44	-0.353	-0.3207151663858768	
0.445	-0.303	-0.3344270603999101	
0.45	-0.306	-0.3386169641588393	
0.455	-0.364	-0.3378027578444847	
0.46	-0.356	-0.33789474772997424	
0.465	-0.271	-0.3382614741569828	
0.47	-0.271	-0.33054780540397316	
0.475	-0.286	-0.31638730366805445	
0.48	-0.254	-0.3002118286956568	
0.485	-0.246	-0.2861047860926832	
0.49	-0.258	-0.27272414846535864	
0.495	-0.223	-0.2604468032394699	
0.5	-0.312	-0.2536258257550916	
0.505	-0.517	-0.26781293281177676	
0.51	-0.654	-0.3159264608935817	
0.515	-0.731	-0.3992927985616119	
0.52	-0.763	-0.5005394476577687	
0.525	-0.683	-0.5933575117703584	
0.53	-0.503	-0.6491853118244295	
0.535	-0.344	-0.6520621535560759	
0.54	-0.252	-0.6006876760840706	
0.545	-0.196	-0.5104536048009914	
0.55	-0.187	-0.41163641050665334	
0.555	-0.170	-0.32179227837689856	
0.56	-0.115	-0.2468984654920542	
0.565	-0.090	-0.18628663701396964	
0.57	-0.159	-0.14456953222907581	
0.575	-0.207	-0.1254021476235098	
0.58	-0.170	-0.12621254298790713	
0.585	-0.171	-0.13709651047570842	
0.59	-0.176	-0.1497311450618915	
0.595	-0.127	-0.1564451325264558	
0.6	-0.135	-0.157596995915939	
0.605	-0.179	-0.15680080279936523	
0.61	-0.181	-0.15691636359401667	
0.615	-0.098	-0.15724899452517127	
0.62	-0.064	-0.15053504022157782	
0.625	-0.055	-0.13140413362766976	
0.63	0.012	-0.10419848577245074	
0.635	-0.005	-0.07508765881870252	
0.64	0.013	-0.0457542929042714	
0.645	0.104	-0.016443135606810568	
0.65	0.094	0.015417910058052372	
0.655	0.030	0.04217699473499424	
0.66	0.044	0.058069522435262894	
0.665	0.084	0.06476542120077564	
0.67	0.062	0.06745481352380564	
0.675	0.007	0.06656722198601928	
0.68	-0.016	0.057799118557697995	
0.685	-0.057	0.037921493714353195	
0.69	-0.071	0.011237246466089333	
0.695	-0.025	-0.01244662557822839	
0.7	0.001	-0.027561567986673422	
0.705	-0.037	-0.03381008403368464	
0.71	-0.020	-0.03393223972484653	
0.715	0.021	-0.030224830262918632	
0.72	0.001	-0.02253913455444713	
0.725	-0.031	-0.014441646480874284	
0.73	-0.025	-0.011195866727587666	
0.735	-0.069	-0.015066944443901628	
0.74	-0.103	-0.02677421867941656	
0.745	-0.057	-0.04146132040378	
0.75	-0.028	-0.05255314159631354	
0.755	-0.063	-0.05780160296614758	
0.76	-0.077	-0.05894604586219497	
0.765	-0.071	-0.06123558052317272	
0.77	-0.139	-0.06953355664183097	
0.775	-0.145	-0.08244395112065724	
0.78	-0.098	-0.09719602442640939	
0.785	-0.126	-0.10904652655052262	
0.79	-0.167	-0.11876920826639437	
0.795	-0.155	-0.1284811198001702	
0.8	-0.147	-0.1395548310440942	
0.805	-0.174	-0.1487897570490032	
0.81	-0.174	-0.15495102420107598	
0.815	-0.167	-0.16124074196207894	
0.82	-0.203	-0.16852232651256438	
0.825	-0.226	-0.17743737537248755	
0.83	-0.208	-0.18820871998086014	
0.835	-0.205	-0.19905524365024968	
0.84	-0.165	-0.20374947072026145	
0.845	-0.086	-0.1954578123788197	
0.85	-0.043	-0.17356280121982304	
0.855	-0.103	-0.14480376589667365	
0.86	-0.239	-0.12495039593978208	
0.865	-0.439	-0.13927393110828934	
0.87	-0.636	-0.20258399702912855	
0.875	-0.672	-0.30543472290255147	
0.88	-0.569	-0.416152917541388	
0.885	-0.440	-0.4990428724786901	
0.89	-0.306	-0.5287436571578865	
0.895	-0.132	-0.4994001404713668	
